AltQuantity,CIFValue,FOBValue,GrossWeight,IsLeaf,NetWeight,TradeQuantity,TradeValue,aggrLevel,cmdCode,cmdDescE,cstCode,cstDesc,estCode,motCode,motDesc,period,periodDesc,pfCode,pt3ISO,pt3ISO2,ptCode,ptCode2,ptTitle,ptTitle2,qtAltCode,qtAltDesc,qtCode,qtDesc,rgCode,rgDesc,rt3ISO,rtCode,rtTitle,yr
,,,,1,2360553,,2346559,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,344,,"China, Hong Kong SAR",,,,,,2,Exports,,36,Australia,2014
,,,,1,345318,,309200,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,360,,Indonesia,,,,,,2,Exports,,36,Australia,2014
,,,,1,3778110,,4460206,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,392,,Japan,,,,,,2,Exports,,36,Australia,2014
,,,,1,47880,,71691,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,410,,Rep. of Korea,,,,,,2,Exports,,36,Australia,2014
,,,,1,1390617,,1317948,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,458,,Malaysia,,,,,,2,Exports,,36,Australia,2014
,,,,1,201510,,213085,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,490,,"Other Asia, nes",,,,,,2,Exports,,36,Australia,2014
,,,,1,3960,,6669,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,520,,Nauru,,,,,,2,Exports,,36,Australia,2014
,,,,1,3650,,5854,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,548,,Vanuatu,,,,,,2,Exports,,36,Australia,2014
,,,,1,722990,,637267,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,554,,New Zealand,,,,,,2,Exports,,36,Australia,2014
,,,,1,101052,,130630,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,598,,Papua New Guinea,,,,,,2,Exports,,36,Australia,2014
,,,,1,205254,,176438,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,608,,Philippines,,,,,,2,Exports,,36,Australia,2014
,,,,1,828,,1119,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,634,,Qatar,,,,,,2,Exports,,36,Australia,2014
,,,,1,103266,,97340,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,643,,Russian Federation,,,,,,2,Exports,,36,Australia,2014
,,,,1,385283,,269533,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,699,,India,,,,,,2,Exports,,36,Australia,2014
,,,,1,1095721,,1318450,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,702,,Singapore,,,,,,2,Exports,,36,Australia,2014
,,,,1,26766,,43626,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,704,,Viet Nam,,,,,,2,Exports,,36,Australia,2014
,,,,1,149940,,195664,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,764,,Thailand,,,,,,2,Exports,,36,Australia,2014
,,,,1,97304,,73076,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,784,,United Arab Emirates,,,,,,2,Exports,,36,Australia,2014
,,,,1,900,,584,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,798,,Tuvalu,,,,,,2,Exports,,36,Australia,2014
,,,,1,2561974,,4465931,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,842,,United States of America,,,,,,2,Exports,,36,Australia,2014
,,,,1,30167,,25071,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201701,January 2017,HS,,,36,,Australia,,,,,,1,Imports,,36,Australia,2017
,,,,1,47600,,101686,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201508,August 2015,HS,,,0,,World,,,,,,4,Re-imports,,36,Australia,2015
,,,,1,47600,,101686,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201508,August 2015,HS,,,36,,Australia,,,,,,4,Re-imports,,36,Australia,2015
,,,,1,12917,,44071,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201703,March 2017,HS,,,554,,New Zealand,,,,,,2,Exports,,36,Australia,2017
,,,,1,639733,,845141,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201306,June 2013,HS,,,124,,Canada,,,,,,2,Exports,,36,Australia,2013
,,,,1,3824845,,5370806,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201704,April 2017,HS,,,0,,World,,,,,,1,Imports,,36,Australia,2017
,,,,1,3420,,3669,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201307,July 2013,HS,,,548,,Vanuatu,,,,,,2,Exports,,36,Australia,2013
,,,,1,589347,,514314,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201604,April 2016,HS,,,0,,World,,,,,,2,Exports,,36,Australia,2016
,,,,1,3600,,3962,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201604,April 2016,HS,,,90,,Solomon Isds,,,,,,2,Exports,,36,Australia,2016
,,,,1,28797,,27169,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201604,April 2016,HS,,,242,,Fiji,,,,,,2,Exports,,36,Australia,2016
,,,,1,800,,1145,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201604,April 2016,HS,,,296,,Kiribati,,,,,,2,Exports,,36,Australia,2016
,,,,1,25374,,17727,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201604,April 2016,HS,,,344,,"China, Hong Kong SAR",,,,,,2,Exports,,36,Australia,2016
,,,,1,24845,,29618,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201604,April 2016,HS,,,458,,Malaysia,,,,,,2,Exports,,36,Australia,2016
,,,,1,7103,,11033,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201604,April 2016,HS,,,520,,Nauru,,,,,,2,Exports,,36,Australia,2016
,,,,1,38397,,40960,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201604,April 2016,HS,,,540,,New Caledonia,,,,,,2,Exports,,36,Australia,2016
,,,,1,5100,,9466,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201604,April 2016,HS,,,548,,Vanuatu,,,,,,2,Exports,,36,Australia,2016
