Original HS Code,Original HS Classification,Description in Original Classification,Consolidated HS code
230641,2007,"Oil-cake & other solid residues, whether/not ground/in pellets, from extraction of low erucic acid rape/colza seeds",230640
230649,2002,Other,230640
230649,2007,"Oil-cake & other solid residues, whether/not ground/in pellets, from extraction of rape/colza seeds (excl. low erucic acid seeds)",230640
230690,1996,Other,230670
230690,2002,Other,230670
230690,2007,"Oil-cake & other solid residues, whether/not ground/in form of pellets, resulting from the extraction of vegetable fats/oils (excl. of 23.04, 23.05 & 2306.10-2306.60)",230670
230810,1996,Acorns and horse-chestnuts,230800
230890,1996,Other,230800
250621,1996,Quartzite :-- Crude or roughly trimmed,250620
250621,2002,Crude or roughly trimmed,250620
250629,1996,Quartzite :-- Other,250620
250629,2002,Other,250620
250840,1996,Other clays,250820
250840,2002,Other clays,250820
250840,2007,"Clays other than expanded clays of 68.06 (excl. of 2507.00, 2508.10 & 2508.30)",250820
251311,1996,"Pumice stone :-- Crude or in irregular pieces, including crushed pumice (bimskies)",251310
251311,2002,"Crude or in irregular pieces, including crushed pumice (bimskies)",251310
251319,1996,Pumice stone :-- Other,251310
251319,2002,Other,251310
251621,1996,Sandstone :-- Crude or roughly trimmed,251620
251621,2002,Crude or roughly trimmed,251620
251622,1996,"Sandstone :-- Merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",251620
251622,2002,"Merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",251620
252410,2007,Crocidolite,252400
252490,2007,Asbestos other than crocidolite,252400
252700,1996,Natural cryolite; natural chiolite.,253090
253040,1996,Natural micaceous iron oxides,253090
262021,2002,Leaded gasoline sludges and leaded antiknock compound sludges,262020
262021,2007,Leaded gasoline sludges & leaded anti-knock compound sludges,262020
262029,2002,Other,262020
262029,2007,Ash & residues (excl. from the manufacture of iron/steel) containing lead (excl. of 2620.21),262020
262060,2002,"Containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds",262050
262060,2007,"Slag,ash & residues (excl. from the manufacture of iron/steel) containing arsenic/mercury/thallium/their mixtures, of a kind used for the extraction  of arsenic/those metals /for the manufacture of their chemical compounds",262050
262090,1996,Other,262050
262091,2002,"Containing antimony, beryllium, cadmium, chromium or their mixtures",262050
262091,2007,Ash & residues (excl. from the manufacture of iron/steel) containing antimony/beryllium/cadmium/chromium/their mixtures,262050
262099,2002,Other,262050
262099,2007,"Ash & residues (excl. from the manufacture of iron/steel), n.e.s. in Ch.26",262050
262100,1996,"Other slag and ash, including seaweed ash (kelp).",262050
262110,2002,Ash and residues from the incineration of municipal waste,262050
262110,2007,Ash & residues from the incineration of municipal waste,262050
262190,2002,Other,262050
262190,2007,"Slag & ash, incl. seaweed ash (kelp), other than ash & residues from the incineration of municipal waste",262050
280521,1996,Alkaline-earth metals :-- Calcium,280512
280522,1996,Alkaline-earth metals :-- Strontium and barium,280519
281129,1996,Other inorganic oxygen compounds of non-metals : -- Other,281123
281129,2002,Other,281123
281129,2007,"Inorganic oxygen comps. of non-metals (excl. of 2811.21& 2811.22),n.e.s.",281123
281620,1996,"Oxide, hydroxide and peroxide of strontium",281640
281630,1996,"Oxide, hydroxide and peroxide of barium",281640
282490,1996,Other,282420
282490,2002,Other,282420
282490,2007,Lead oxides (excl. of 2824.10);red lead&orange lead,282420
282738,1996,Other chlorides:-- Of barium,282590
282749,1996,Chloride oxides and chloride hydroxides:-- Other,
282749,2002,Other,
282749,2007,Chloride oxides & chloride hydroxides other than of copper,
282760,1996,Iodides and iodide oxides,
282760,2002,Iodides and iodide oxides,
282760,2007,Iodides & iodide oxides,
283422,1996,Nitrates:-- Of bismuth,
283429,1996,Nitrates:-- Other,
283429,2002,Other,
283429,2007,Nitrates other than of potassium,
283539,1996,Polyphosphates:-- Other,
283539,2002,Other,
283539,2007,Polyphosphates (excl. of 2835.31),
283719,1996,Cyanides and cyanide oxides:-- Other,
283719,2002,Other,
283719,2007,Cyanides & cyanide oxides (excl. of 2837.11),
283720,1996,Complex cyanides,
283720,2002,Complex cyanides,
283720,2007,Complex cyanides,
283800,1996,"Fulminates, cyanates and thiocyanates",
283800,2002,"Fulminates, cyanates and thiocyanates.",
284140,1996,Potassium dichromate,
284150,1996,Other chromates and dichromates; peroxochromates,
284150,2002,Other chromates and dichromates; peroxochromates,
284150,2007,Chromates&dichromates(excl. of 2841.30); peroxochromates,
284210,1996,Double or complex silicates,
284210,2002,"Double or complex silicates, including aluminosilicates whether or not chemically defined",
284210,2007,"Double/complex silicates, incl. aluminosilicates, whether/not chemically defined",
284290,1996,Other,
284290,2002,Other,
284290,2007,"Salts of inorganic acids/peroxoacids (excl. of double/complex silicates), whether/not chemically defined (excl. azides)",
284390,1996,Other compounds; amalgams,
284390,2002,Other compounds; amalgams,
284390,2007,"Inorganic/organic compounds of precious metals (excl. of 2843.21 - 2843.30), whether/not chemically defined; amalgams of precious metals",
284800,1996,"Phosphides, whether or not chemically defined, excluding ferrophosphorus",
284800,2002,"Phosphides, whether or not chemically defined, excluding ferrophosphorus.",
284800,2007,"Phosphides, whether/not chemically defined (excl. ferrophosphorus)",
284990,1996,Other,
284990,2002,Other,
284990,2007,"Carbides (excl. of 2849.10 & 2849.20), whether/not chemically defined",
285000,1996,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading No. 28.49",
285000,2002,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading 28.49.",
285000,2007,"Hydrides, nitrides, azides, silicides&borides, whether/not chemically defined, other than compounds which are also carbides of heading 28.49.",
285100,1996,"Other inorganic compounds (including distilled or conductivity water and water of similar purity); liquid air (whether or not rare gases have been removed); compressed air; amalgams, other than amalgams of precious metals",
285100,2002,"Other inorganic compounds (including distilled or conductivity water and water of similar purity); liquid air (whether or not rare gases have been removed); compressed air; amalgams, other than amalgams of precious metals.",
285200,2007,"Compounds, inorganic/organic, of mercury, excluding amalgams.",
285300,2007,"Other inorganic compounds (including distilled/conductivity water&water of similar purity); liquid air (whether/not rare gases have been removed); compressed air; amalgams, other than amalgams of precious metals.",
282619,1996,Fluorides:-- Other,282611
282619,2002,Other,282611
282619,2007,Flourides other than of aluminium,282611
282690,1996,Other,282620
282690,2002,Other,282620
282690,2007,"Fluorosilicates, fluoroaluminates (excl. of 2826.30) & other complex fluorine salts",282620
